price,surface,piece,rooms,bathroom,address,more_infos,description,type_de_bien,etat,étage_du_bien,orientation,standing,état,etat_du_bien,type_du_sol,livraison:,surface_extérieure,climatisation,double_vitrage,cuisine_équipée,terrasse,ascenseur,concierge,sécurité,four,garage,piscine,façade_extérieure,salon_marocain,chambre_rangement,salon_européen,antenne_parabolique,porte_blindée,jardin,cheminée,meublé,réfrigérateur,machine_à_laver,chauffage_central
1374000,56,2,1,1,Riviera à Casablanca,Beau studio à vendre Riviera,"Que vous soyez jeune actif, investisseur ou simplement à la recherche de votre futur logement à Casablanca, le projet Studio Blue skies vous propose des biens qui correspondent en tous points à vos attentes

Plus qu’un simple projet, Blue Skies correspondra à l’ensemble de vos attentes, en termes d’emplacement, de finitions et de cadre de vie,

Un véritable havre de paix au sein du quartier Riviera, Blue Skies met à votre disposition des studios F2 haut standing dont les superficies varient entre 40 m² et 65 m² à partir de 972 000 DH et 100% déclaré.

Grâce à sa double façade, ce projet vous offre la lumière naturelle durant toute la journée et met également à votre disposition un parking en deux sous-sols.

Les studios du projet Blue Skies proposent des agencements minutieusement étudiés, des équipements de qualité et des finitions vertueuses :

- Revêtement des sols de la chambre et le salon en Parquet Egger Laminate Pro
- Peinture
- Cuisine équipée d’un trio
- Double Vitrage
- Rooftop aménagé
- Climatisation centralisée

L’emplacement idéal dont bénéficie Blue Skies vous fait profiter d’une proximité immédiate avec l’ensemble des commodités dont vous pourrez avoir besoin :

- A 1 min du croisement Bd Ghandi & Route El Jadida
- A 8 min de la Gare ferroviaire Casa Oasis
- Supermarché et commerces
- Cafés et restaurants

Investir ou habiter dans le projet Blue Skies, c’est faire un choix gagnant à tous les coups ! Pour plus d’informations, n’hésitez pas à nous contacter.",Appartement,Nouveau,1,Ouest,Haut standing,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1872600,104,4,3,NaN,Californie à Casablanca,Magnifique appartement à vendre à Californie,"Les Allées de Californie 2, plus qu’une simple résidence, un cadre de vie créé exclusivement pour vous !

Composée de 4 immeubles en R4, Les Allées de Californie 2 est une résidence fermée et sécurisée située au quartier Californie qui vous propose des appartements haut standing de 3 chambres.

Cet appartement de 108 m² composé de 3 chambres, à un prix de 1 895 200 DH, 100% déclaré.

La résidence propose les prestations suivantes :

- Sécurité 24h/7j
- Espaces verts et jardins intérieurs
- Vidéosurveillance
- Places de parking titrées

Les appartements des Allées de Californie 2 sont dotés de finitions et d’équipements premium :

- Installation de la domotique
- Climatisation en split
- Parquet stratifié dans les chambres
- Marbre dans le reste de la maison
- Carrelage antidérapant dans les salles de bains
- Cuisine équipée d’un trio (Four, hotte, plaque de cuisson) et d'un lave-vaisselle
- Douche à l’italienne
- Porte d’entrée et placards en bois de chêne ou similaire
- Pré-installation de la fibre optique

Le projet est situé au centre du quartier Californie. Il dispose d’une proximité immédiate avec toutes les principales artères de la ville et les services de proximité :

- Écoles
- Supermarchés/hypermarchés
- Pharmacies
- Cliniques
- Salles de sport

Les titres fonciers disponibles immédiatement.

Programmez votre visite dès maintenant, en appelant le 05200 100 20.",Appartement,Nouveau,NaN,,Haut standing,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1394500,116,2,1,NaN,Sidi Maarouf à Casablanca,Appartement à vendre à Sidi Maarouf. Surface totale 116 m²,"Avec sa situation privilégiée, à proximité du quartier d’affaires de Sidi Maarouf, du quartier villa Nassim et profitant du nouvel accès de la rocade Sud-Ouest, Casa View est le projet résidentiel qui comblera les familles et les jeunes actifs. Des conceptions uniques d’appartements s’inspirant des grands principes architecturaux allient de façon exceptionnelle charme et fonctionnalité. La conception des plans, l’aménagement des volumes et la qualité des prestations participent à la signature des réalisations de KLK KHAYATEY LIVING qui y attache un soin particulier pour assurer confort et qualité de vie incomparable aux résidents.",Appartement,,NaN,,,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1674000,136,3,2,1,Sidi Maarouf à Casablanca,Appartement à vendre à Sidi Maarouf. 2 belles chambres,"Faites une belle affaire en achetant cet appartement. Prix 1 674 000 DH. 3 pièces, 1 salle de bains, surface 136 m². 2 chambres à coucher. Nouveau. Ascenseur dans la résidence.

Cet appartement est proposé à la vente à Sidi Maarouf, Casablanca.",Appartement,Nouveau,NaN,,Haut standing,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
894400,71,4,2,2,Aïn Sebaâ à Casablanca,Bel appartement à vendre à Ain Sebaa,"Charmant appartement de 96 m² composé de 3 chambres, à un prix de 1 175 000 MAD.

4 pièces lumineuses.

Idéal si vous souhaitez acheter un appartement à Casablanca plus précisément à Ain Sbaa.

Les Jardins de Ain Sebaâ Tranche 2 vous propose des appartements de standing d’une superficie allant de 71 à 96 m², et ce, à un prix 100% déclaré débutant à 802 000 DH !

Entourée d’espaces verts, cette résidence fermée et sécurisée à taille humaine est composée de 2 immeubles pour un total de 45 appartements de standing. Votre confort et votre sécurité n’y ont pas été pris à la légère puisque vous bénéficierez de : ascenseurs de la marque SCHINDLER, caméras de surveillance, parking au sous-sol…

Votre futur appartement doté des finitions que vous attendiez !

De par leurs finitions et leurs équipements de qualité, ces appartements de 2 ou 3 chambres vous feront jouir d’un bien-être inégalé.
- Carrelage de qualité dans tout l’appartement
- Porte d’entrée et portes intérieures isoplanes
- Cuisine équipée d’un trio (hotte, four et plaque de cuisson)
- Salle de bain fonctionnelle : douche à l’italienne, WC suspendu...

Un quartier qui vous séduira par son dynamisme et sa position stratégique !

Ain Sebaâ, le quartier dans lequel est implanté la résidence fermée et sécurisée Les Jardins de Ain Sebaâ Tranche 2, est très prisé aussi bien par les jeunes actifs que par les familles. Proche des principales artères de Casablanca et de toutes les commodités, ce dernier vous facilitera à coup sûr votre quotidien.

Ainsi, en optant pour Les Jardins de Ain Sebaâ Tranche 2, vous allez bénéficier d’une proximité avec les commodités suivantes :
- Écoles : crèches, primaires, collèges et lycées
- Universités et écoles supérieures : Faculté de Ain Sebaâ, ENCG, EFA...
- Supermarchés et hypermarchés
- Divertissement : parcs de jeux, zoo, jardins publics...
- Moyens de transport : train, tramway, bus et taxis
- Centres commerciaux : Tachfine Center, Marina Mall
- Mosquées
- Sorties d’autoroutes

Convaincus ? Contactez sans plus attendre nos conseillers et achetez votre appartement 100% déclaré à la résidence Les Jardins de Ain Sebaâ Tranche 2 !",Appartement,Nouveau,NaN,,Moyen standing,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1159160,119,3,2,1,Sidi Maarouf à Casablanca,Vente d'un bel appartement à Sidi Maarouf. 2 chambres agréables,"Agréable appartement à vendre. Prix 1 159 160 DH. 3 pièces, 1 salle de bains, 119 m². 2 chambres à coucher. Nouveau.

Idéal si vous souhaitez acheter un appartement à Sidi Maarouf, Casablanca.",Appartement,Nouveau,NaN,,,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
650000,33,2,1,1,Sidi Maarouf à Casablanca,Vente d'un bel appartement à Sidi Maarouf. 2 chambres agréables,,Appartement,Nouveau,NaN,,,En cours de construction,Moins d'un an,Carrelage,décembre 2023,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1820000,126,3,2,2,Californie à Casablanca,Vente d'un bel appartement à Californie. Superficie 126 m²,"Achetez votre appartement. Prix 1 820 000 DH. 3 pièces, 2 salles de bains, 126 m². 2 chambres. Nouveau. Grande terrasse.

Idéal si vous souhaitez acheter un appartement à Californie, Casablanca. Résidence avec piscine.",Appartement,Nouveau,NaN,,Haut standing,En cours de construction,,,décembre 2025,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1400000,91,4,3,2,Californie à Casablanca,Très joli appartement à vendre à Californie Casablanca,"Les Allées de Californie, plus qu’une simple résidence, un cadre de vie créé exclusivement pour vous !

Composée de 4 immeubles en R+4, Les Allées de Californie 2 est une résidence fermée et sécurisée située au quartier Californie qui vous propose des appartements haut standing de 3 chambres.

La résidence propose les prestations suivantes :

- Sécurité 24h/7j.
- Espaces verts et jardins intérieurs
- Vidéosurveillance
- Places de parking titrées

Les appartements des Allées de Californie 2 sont dotés des finitions et des équipements premium :

- Installation de la domotique
- Climatisation en split
- Parquet stratifié dans les chambres
- Marbre dans le reste de la maison
- Carrelage antidérapant dans les salles de bains
- Cuisine équipée d’un trio (Four, hotte, plaque de cuisson) et d'un lave-vaisselle
- Douche à l’italienne
- Porte d’entrée et placards en bois de chêne ou similaire
- Pré-installation de la fibre optique

Le projet est situé au centre du quartier Californie. Il dispose d’une proximité immédiate avec toutes les principales artères de la ville et les services de proximité :

- Écoles
- Supermarchés/hypermarchés
- Pharmacies
- Cliniques
- Salles de sport

Les titres fonciers sont disponibles et la livraison est immédiate.

Programmez votre visite dès maintenant, en appelant le 05200 100 20.",Appartement,Nouveau,NaN,,Haut standing,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1200000,80,2,2,NaN,Ain Chock à Casablanca,Appartement en vente à Californie. 2 belles chambres,"Les projets d'immeubles LAILAH 1 & 2 vous proposent des appartements haut standing et locaux commerciaux sur Californie.

Un quartier familial, vivant avec ses nombreux commerces et infrastructures urbaines de proximité qui vous procureront un cadre de vie agréable. Le projet répond parfaitement à vos exigences en matière d’ingénierie (Finitions, agencement des pièces, superficies et qualités des équipements).

CARACTERISTIQUES

• Appartement 2 et 3 chambres allant de 80 à 105m²
• Revêtement de sol en marbre Crema Marfil et parquet stratifié dans les chambres
• Habillage mural et portes en bois chêne (première qualité).
• Cuisine équipée / Electro-ménager de la marque TEKA.
• Sanitaire WC : Première qualité
• Menuiserie aluminium: ALUMA CONFORT
• Climatisation centralisée
• Hauteur sous-plafond: 3 mètres
• Ascenseur OTIS
• Vidéophone : COMAX
• Places de parking titrées

La livraison immédiate.",Appartement,,NaN,,Haut standing,Finalisé,,,janvier 2024,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7000,65,3,2,2,Bernoussi à Casablanca,Vend appartement à Bernoussi. 2 chambres,"Achetez votre appartement. Prix 7 000 DH. 2 chambres, 2 salles de bains, superficie 65 m². 3 pièces lumineuses. Nouveau.

Cet appartement est en vente à Bernoussi, Casablanca.",Appartement,Nouveau,NaN,,Moyen standing,Finalisé,,,juillet 2024,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1240000,62,3,2,2,Plateau (Al Batha) à Casablanca,Bien beaux appartements de ht standing,"BIEN BEAUX APPARTEMENTS de Ht STANDING
Maarif Cité Plateau (Al Batha) de 62 m² à 89 m² à la Résidence ORCHYDIA, de haut standing, Agréables et Confortables appartements Lumineux, Ensoleillés et biens conçus, comprenant une Accueillante Réception, un Salon, cuisine & sdb, une suite parentale avec dressing & sdb, plus une 2ième chambre.
Climatisation intégré, un double vitrage et parking .
A partir de1.240.000, 00dhs.",Appartement,Nouveau,2,Ouest,,,Moins d'un an,Marbre,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1502500,111,3,2,1,Sidi Maarouf à Casablanca,Appartement à l'achat à Sidi Maarouf. Surface de 111 m²,"Agréable appartement à vendre. Prix 1 502 500 DH. 2 chambres à coucher, 1 salle de bains, 111 m². 3 pièces lumineuses. Nouveau. Ascenseur dans la résidence.

Idéal si vous souhaitez acheter un appartement à Sidi Maarouf, Casablanca.",Appartement,Nouveau,NaN,,Haut standing,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4400000,169,3,2,2,Anfa à Casablanca,Appartement à l'achat à Anfa. Superficie 169 m²,"Anfa Place Living Resort est un projet immobilier haut de gamme situé dans le quartier prestigieux d'Anfa à Casablanca, au Maroc. Il s'agit d'un complexe immobilier étendu sur une superficie de 7 hectares offrant une vue panoramique imprenable sur la ville et l'océan Atlantique. Le projet propose des appartements luxueux allant du studio au penthouse de 5 chambres, ainsi que des villas avec jardins privés et piscines.

Les résidents bénéficient d'un large éventail d'équipements haut de gamme tels qu'un centre de remise en forme, un spa, une piscine intérieure et extérieure, des terrains de sport, des restaurants et des boutiques. Anfa Place Living Resort a été conçu pour offrir un style de vie exclusif et moderne, avec des espaces de vie spacieux et lumineux, des finitions haut de gamme et une attention particulière portée à chaque détail.

Le complexe immobilier est entièrement sécurisé et propose un service de conciergerie disponible 24h/24 pour répondre aux besoins des résidents. Nos équipes sont à votre disposition pour vous fournir toutes les informations nécessaires et vous recevoir dans notre bureau de vente sur place.

Anfa Place Living Resort est un projet immobilier de prestige offrant un cadre de vie exceptionnel à Casablanca, avec des équipements de qualité supérieure et une vue panoramique imprenable sur la ville et l'océan.",Appartement,Nouveau,NaN,,Haut standing,Finalisé,,,juin 2023,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
770000,97,4,3,2,Al Azhar à Casablanca,Appartement à l'achat à Anfa. Superficie 169 m²,,Appartement,Nouveau,NaN,,Moyen standing,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1100000,99,4,3,2,Lissasfa à Casablanca,Appartement à vendre à Lissasfa. Surface totale 99 m²,"Achetez votre appartement. Prix 1 080 000 DH. 3 chambres, 2 salles de bains, surface 100 m². 4 pièces lumineuses. Moins d'un an. Cuisine entièrement équipée.

Venez découvrir cet appartement à vendre à Lissasfa, Casablanca. Avec ascenseur.",Appartement,Nouveau,3,Sud,Moyen standing,Finalisé,Moins d'un an,Marbre,août 2024,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
590000,37,2,1,1,Roches Noires à Casablanca,Appartement de 37m² et 11m² de parking,"Appartement idéal à la vente. Prix 590 000 DH. 2 pièces, 1 salle de bains, surface 37 m². 1 chambre à coucher. Nouveau.

Cet appartement est proposé à la vente à Roches Noires, Casablanca.",Appartement,Nouveau,NaN,,Haut standing,En cours de construction,,,juin 2024,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1674000,136,2,1,NaN,Sidi Maarouf à Casablanca,Vente d'un bel appartement à Sidi Maarouf. Superficie 136 m²,"NOS DUPLEX ET APPARTEMENTS
Nos appartements et duplex d’exception s’inspirent des grands principes architecturaux, alliant charme et fonctionnalité de façon inégalée. La conception des plans, l’aménagement des volumes, et la qualité des prestations concourent à la signature des réalisations de KLK Khayatey Living, qui accorde un soin particulier pour assurer un confort et une qualité de vie incomparables à nos résidents.

CASAVIEW vous offre des duplex et appartements de prestige, dotés d’une finition exceptionnelle. Nos choix de menuiserie en bois luxueux, de sanitaire et de robinetterie haut de gamme vous plongent dans un univers d’élégance.

Les appartements, accessibles par ascenseur, ont été pensés pour que chaque famille trouve l’appartement de ses rêves, synonyme d’épanouissement, de bien-être et de sérénité. Vous méritez le meilleur, et Casaview l’incarne.",Appartement,,NaN,,Haut standing,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1810000,100,4,3,NaN,Californie à Casablanca,Charmant appartement à vendre à Californie,"Les Allées de Californie 2, plus qu’une simple résidence, un cadre de vie créé exclusivement pour vous !

Composée de 4 immeubles en R4, Les Allées de Californie 2 est une résidence fermée et sécurisée située au quartier Californie qui vous propose des appartements haut standing de 3 chambres.

Ce magnifique appartement de 101 m² composé de 3 chambres, est exposé à un prix de 1 585 000 DH, 100% déclaré.

La résidence propose les prestations suivantes :

- Sécurité 24h/7j
- Espaces verts et jardins intérieurs
- Vidéosurveillance
- Places de parking titrées

Les appartements des Allées de Californie 2 sont dotés de finitions et d’équipements premium :

- Installation de la domotique
- Climatisation en split
- Parquet stratifié dans les chambres
- Marbre dans le reste de la maison
- Carrelage antidérapant dans les salles de bains
- Cuisine équipée d’un trio (Four, hotte, plaque de cuisson) et d'un lave-vaisselle
- Douche à l’italienne
- Porte d’entrée et placards en bois de chêne ou similaire
- Pré-installation de la fibre optique

Le projet est situé au centre du quartier Californie. Il dispose d’une proximité immédiate avec toutes les principales artères de la ville et les services de proximité :

- Écoles
- Supermarchés/hypermarchés
- Pharmacies
- Cliniques
- Salles de sport

Les titres fonciers sont disponibles immédiatement.

Programmez votre visite dès maintenant, en appelant le 05 200 100 20.",Appartement,Nouveau,NaN,,Haut standing,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1212000,53,2,1,1,Riviera à Casablanca,Studio à vendre à Riviera,"Que vous soyez jeune actif, investisseur ou simplement à la recherche de votre futur logement à Casablanca, le projet Studio Blue skies vous propose des biens qui correspondent en tous points à vos attentes

Plus qu’un simple projet, Blue Skies correspondra à l’ensemble de vos attentes, en termes d’emplacement, de finitions et de cadre de vie,

Un véritable havre de paix au sein du quartier Riviera, Blue Skies met à votre disposition des studios F2 haut standing dont les superficies varient entre 40 m² et 65 m² à partir de 972 000 DH et 100% déclaré.

Grâce à sa double façade, ce projet vous offre la lumière naturelle durant toute la journée et met également à votre disposition un parking en deux sous-sols.

Les studios du projet Blue Skies proposent des agencements minutieusement étudiés, des équipements de qualité et des finitions vertueuses :

- Revêtement des sols de la chambre et le salon en Parquet Egger Laminate Pro
- Peinture
- Cuisine équipée d’un trio
- Double Vitrage
- Rooftop aménagé
- Climatisation centralisée

L’emplacement idéal dont bénéficie Blue Skies vous fait profiter d’une proximité immédiate avec l’ensemble des commodités dont vous pourrez avoir besoin :

- A 1 min du croisement Bd Ghandi & Route El Jadida
- A 8 min de la Gare ferroviaire Casa Oasis
- Supermarché et commerces
- Cafés et restaurants

Investir ou habiter dans le projet Blue Skies, c’est faire un choix gagnant à tous les coups ! Pour plus d’informations, n’hésitez pas à nous contacter.",Appartement,Nouveau,NaN,Sud,Haut standing,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1161000,86,2,1,1,Sidi Maarouf à Casablanca,Vente d'un bel appartement à Sidi Maarouf. Surface de 86 m²,"Appartement idéal à la vente. Prix 1 161 000 DH. 2 pièces, 1 salle de bains, 86 m². 1 chambre à coucher. Nouveau. Avec ascenseur.

Cet appartement est proposé à la vente à Sidi Maarouf, Casablanca.",Appartement,Nouveau,NaN,,Haut standing,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
